organisation,country,iso3,pop_data_source,fertility_fit_level,admin1_level,mics,dhs
angola,Angola,AGO,orderly,2,1,0,1
burundi,Burundi,BDI,orderly,2,1,1,1
benin,Benin,BEN,gpw,3,1,1,1
burkina-faso,Burkina Faso,BFA,gpw,2,1,1,1
republique-centrafricaine,Central African Republic,CAF,worldpop,2,1,1,0
cote-d-ivoire,Cote d'Ivoire,CIV,orderly,2,1,1,1
cameroon,Cameroon,CMR,orderly,3,1,1,1
republique-democratique-du-congo,"Congo, The Democratic Republic of the",COD,orderly,3,2,1,1
congo,Congo,COG,worldpop,3,1,1,1
ethiopia,Ethiopia,ETH,gpw,2,1,0,1
gabon,Gabon,GAB,worldpop,2,1,0,1
ghana,Ghana,GHA,worldpop,2,1,0,1
guinee,Guinea,GIN,worldpop,2,1,0,1
gambia,Gambia,GMB,orderly ,3,1,1,1
,Guinea Bissau,GNB,,1,1,1,0
kenya-moh,Kenya,KEN,orderly,2,1,1,1
liberia,Liberia,LBR,worldpop,2,1,0,1
lesotho,Lesotho,LSO,orderly,2,1,1,1
mali,Mali,MLI,worldpop,2,1,1,1
mozambique,Mozambique,MOZ,orderly,3,1,1,1
malawi-moh,Malawi,MWI,orderly,5,1,1,1
namibia,Namibia,NAM,gpw,2,1,0,1
niger,Niger,NER,worldpop,2,1,0,1
nigeria,Nigeria,NGA,orderly,3,2,1,1
rwanda,Rwanda,RWA,orderly,2,1,0,1
senegal,Senegal,SEN,worldpop,2,1,0,1
sierra-leone,Sierra Leone,SLE,worldpop,2,1,1,1
,South Sudan,SSD,,1,1,1,0
eswatini,Eswatini,SWZ,orderly,2,1,1,1
chad,Chad,TCD,worldpop,2,1,1,1
togo,Togo,TGO,orderly,2,1,1,1
tanzania,"Tanzania, United Republic of",TZA,orderly,4,2,0,1
uganda,Uganda,UGA,orderly,3,1,0,1
,South Africa,ZAF,,2,1,0,1
zambia-moh,Zambia,ZMB,orderly,2,1,0,1
zimbabwe,Zimbabwe,ZWE,orderly,2,1,1,1
