source,mse,iso3
Poisson AR1,0.7204572738427321,KEN
Poisson AR1 trend,0.5988001424602938,KEN
Poisson Arima,0.6361257978866086,KEN
Poisson Arima Trend,0.5813072422920408,KEN
Poisson RW2,0.5420955854795005,KEN
Poisson AR1,0.7351216256238498,MWI
Poisson AR1 trend,0.5147237110933077,MWI
Poisson Arima,0.7420147887206386,MWI
Poisson Arima Trend,0.540176022115788,MWI
Poisson RW2,0.44057232594507073,MWI
Poisson AR1,0.3203056769720526,ZWE
Poisson AR1 trend,0.29155616499694564,ZWE
Poisson Arima,0.31018259658632485,ZWE
Poisson Arima Trend,0.29288911302048387,ZWE
Poisson RW2,0.5272517280515331,ZWE
Poisson AR1,1.033498590494995,ZMB
Poisson AR1 trend,0.5779959201137486,ZMB
Poisson Arima,1.0074046647858284,ZMB
Poisson Arima Trend,0.575661113332707,ZMB
Poisson RW2,0.2630486090630395,ZMB
Poisson AR1,0.3895917988623217,RWA
Poisson AR1 trend,0.48871729844569334,RWA
Poisson Arima,0.39280257638116806,RWA
Poisson Arima Trend,0.48873614053760933,RWA
Poisson RW2,0.5274494310778957,RWA
Poisson AR1,0.5131676522767197,LSO
Poisson AR1 trend,0.37627132001036295,LSO
Poisson Arima,0.5249522785214913,LSO
Poisson Arima Trend,0.3784385641635673,LSO
Poisson RW2,0.39165131112452506,LSO
Poisson AR1,0.8415478937509288,MOZ
Poisson AR1 trend,0.7719899824468339,MOZ
Poisson Arima,0.8514723362023467,MOZ
Poisson Arima Trend,0.770227267357942,MOZ
Poisson RW2,0.7765550282956787,MOZ
Poisson AR1,1.1088869947995053,UGA
Poisson AR1 trend,0.7581163656323543,UGA
Poisson Arima,1.111792964708789,UGA
Poisson Arima Trend,0.7261594105391364,UGA
Poisson RW2,0.56842255766667,UGA
Poisson AR1,0.23444146320099538,SWZ
Poisson AR1 trend,0.13872004321191345,SWZ
Poisson Arima,0.245228829860322,SWZ
Poisson Arima Trend,0.13534078056774815,SWZ
Poisson RW2,0.1384753412118218,SWZ
Poisson AR1,0.3317904696012327,NAM
Poisson AR1 trend,0.49502182451486265,NAM
Poisson Arima,0.33554384757929284,NAM
Poisson Arima Trend,0.49941793970734266,NAM
Poisson RW2,0.4572263223115935,NAM
