report,iso3,version
aaa_asfr,AGO,2022
aaa_asfr,BWA,2022
aaa_asfr,SWZ,2022
aaa_asfr,ETH,2022
aaa_asfr,KEN,2022
aaa_asfr,LSO,2022
aaa_asfr,MWI,2022
aaa_asfr,MOZ,2022
aaa_asfr,NAM,2022
aaa_asfr,RWA,2022
aaa_asfr,ZAF,2022
aaa_asfr,SSD,2022
aaa_asfr,UGA,2022
aaa_asfr,TZA,2022
aaa_asfr,ZMB,2022
aaa_asfr,ZWE,2022
aaa_asfr,BEN,2022
aaa_asfr,BFA,2022
aaa_asfr,BDI,2022
aaa_asfr,CMR,2022
aaa_asfr,CAF,2022
aaa_asfr,TCD,2022
aaa_asfr,COG,2022
aaa_asfr,CIV,2022
aaa_asfr,COD,2022
aaa_asfr,GNQ,2022
aaa_asfr,GAB,2022
aaa_asfr,GMB,2022
aaa_asfr,GHA,2022
aaa_asfr,GIN,2022
aaa_asfr,GNB,2022
aaa_asfr,LBR,2022
aaa_asfr,MLI,2022
aaa_asfr,NER,2022
aaa_asfr,NGA,2022
aaa_asfr,SEN,2022
aaa_asfr,SLE,2022
aaa_asfr,TGO,2022
aaa_asfr,ERI,2022
